"Report Period","Cert/ID","Institution Name","City","State","Class","Total Assets","Total Domestic Deposits"
"20131231","9295","FARMERS STATE BANK","LAKE VIEW","IA","SM","33556","30116"
"20131231","18094","MARQUETTE FARMERS STATE BANK OF MARQUETTE","MARQUETTE","KS","NM","33548","29499"
"20131231","34308","METRO BANK","LOUISVILLE","KY","NM","33393","27716"
"20131231","16193","THE ROCKHOLD, BROWN & COMPANY BANK","BAINBRIDGE","OH","NM","33190","29920"
"20131231","3336","MENARD BANK","MENARD","TX","SM","33093","28767"
"20131231","5436","BANK OF MARQUETTE","MARQUETTE","NE","NM","33081","26381"
"20131231","58466","MILLENNIUM BANK","JUNCTION CITY","KS","NM","33013","27315"
"20131231","219","BUFFALO SAVINGS BANK","BUFFALO","IA","NM","32940","30088"
"20131231","17160","COTTONWOOD VALLEY BANK","CEDAR POINT","KS","SM","32836","27976"
"20131231","27611","TRI-STATE BANK AND TRUST","HAUGHTON","LA","NM","32792","27785"
"20131231","19293","CENTER POINT BANK AND TRUST COMPANY","CENTER POINT","IA","NM","32681","27747"
"20131231","13931","STATE BANK OF SCHALLER","SCHALLER","IA","NM","32678","29065"
"20131231","8946","KINDRED STATE BANK","KINDRED","ND","NM","32677","30844"
"20131231","8851","PARK STATE BANK","DULUTH","MN","NM","32585","28489"
"20131231","9354","FARMERS STATE BANK OF HOFFMAN","HOFFMAN","MN","NM","32559","29282"
"20131231","29486","KINGSTREE FEDERAL SAVINGS AND LOAN ASSOCIATION","KINGSTREE","SC","SB","32545","27586"
"20131231","13990","PALO SAVINGS BANK","PALO","IA","NM","32537","27903"
"20131231","10626","BANK OF NEW CAMBRIA","NEW CAMBRIA","MO","NM","32514","29102"
"20131231","11302","FIRST STATE BANK OF ST. PETER","SAINT PETER","IL","SM","32512","26469"
"20131231","15751","THE STATE BANK","RICHMOND","MO","NM","32398","29580"
"20131231","9772","PARAGON BANK","WELLS","MN","NM","32346","28996"
"20131231","14069","STATE BANK OF SCOTIA","SCOTIA","NE","NM","32335","23940"
"20131231","10597","THE BANK OF ORRICK","ORRICK","MO","NM","32262","28926"
"20131231","21255","LAKESIDE BANK OF SALINA","SALINA","OK","SM","32241","28587"
"20131231","28731","MIDWEST FEDERAL SAVINGS AND LOAN ASSOCIATION OF ST JOSEPH","SAINT JOSEPH","MO","SB","32229","26011"
"20131231","17450","DEFIANCE STATE BANK","DEFIANCE","IA","NM","32077","25036"
"20131231","9956","TRUST COMPANY BANK","MEMPHIS","TN","NM","32060","26647"
"20131231","5718","THE STATE BANK OF BLUE MOUND","BLUE MOUND","IL","SM","32020","30353"
"20131231","5150","THE FIRST NATIONAL BANK OF GILBERT","GILBERT","MN","N","31998","28101"
"20131231","8196","FIRST STATE BANK OF ASHBY","ASHBY","MN","NM","31938","29411"
"20131231","58317","BANK OF MAUMEE","MAUMEE","OH","SB","31916","28650"
"20131231","13832","THE TRUST BANK","LENOX","GA","NM","31750","28316"
"20131231","15188","THE NECEDAH BANK","NECEDAH","WI","NM","31748","25568"
